REPORT DATE,Regione,Ricoverati con sintomi,Terapia intensiva,Totale attualmente positivi,DECEDUTI,Isolamento domiciliare,CASI TOTALI - A,Totale tamponi effettuati,SCHEMA VERSION
2020-06-13,Valle d'Aosta,7,0,7,144,0,1191,16476,v5
2020-06-13,Sardegna,12,0,34,132,22,1363,68079,v5
2020-06-13,Umbria,10,1,21,76,10,1436,81155,v5
2020-06-13,Calabria,15,1,45,97,29,1162,81255,v5
2020-06-13,Abruzzo,72,4,509,454,433,3275,90340,v5
2020-06-13,Friuli VG,15,0,105,343,90,3296,158870,v5
2020-06-13,Sicilia,33,3,842,279,806,3456,178319,v5
2020-06-13,Molise,0,0,97,23,97,439,18495,v5
2020-06-13,Bolzano,7,2,95,291,86,2610,75735,v5
2020-06-14,Lazio,305,37,1322,808,980,7955,297615,v5
2020-06-14,Basilicata,0,1,11,27,10,401,35139,v5
2020-06-14,Puglia,57,2,418,532,359,4515,147249,v5
2020-06-14,Piemonte,517,26,2648,4012,2105,31059,368065,v5
2020-06-14,Emilia Romagna,192,14,1637,4204,1431,28073,407039,v5
2020-06-14,Veneto,40,1,772,1978,731,19219,812540,v5
2020-06-14,Toscana,34,16,499,1085,449,10180,292101,v5
2020-06-14,Liguria,85,3,243,1521,155,9879,126705,v5
2020-06-14,Marche,21,0,626,993,605,6758,121354,v5
2020-06-14,Abruzzo,71,4,511,456,436,3279,91445,v5
2020-06-14,Trento,5,1,66,464,60,4447,103910,v5
2020-06-14,Molise,0,0,74,23,74,439,18845,v5
2020-06-14,Sicilia,32,3,837,279,802,3457,179438,v5
2020-06-14,Friuli VG,15,1,103,343,87,3296,160824,v5
2020-06-14,Bolzano,8,2,95,291,85,2613,76195,v5
2020-06-14,Umbria,9,1,20,77,10,1436,81976,v5
2020-06-14,Sardegna,12,0,33,132,21,1363,68769,v5
2020-06-14,Valle d'Aosta,7,0,7,144,0,1191,16597,v5
2020-06-14,Calabria,15,1,44,97,28,1162,81981,v5
2020-06-14,Lombardia,2116,94,15989,16449,13779,91658,892641,v5
2020-06-14,Campania,53,2,319,430,264,4609,240290,v5
2020-06-15,Marche,18,0,617,993,599,6762,121620,v5
2020-06-15,Lazio,304,37,1292,811,951,7958,299590,v5
2020-06-15,Piemonte,517,28,2604,4012,2059,31061,369294,v5
2020-06-15,Toscana,31,16,489,1088,442,10188,293683,v5
2020-06-15,Veneto,38,1,755,1978,716,19220,817064,v5
2020-06-15,Emilia Romagna,188,13,1500,4207,1299,28084,410984,v5
2020-06-15,Liguria,87,2,246,1525,157,9887,127913,v5
2020-06-15,Campania,58,2,289,430,229,4613,241380,v5
2020-06-15,Abruzzo,71,3,486,456,412,3279,91700,v5
2020-06-15,Molise,0,0,70,23,70,439,19125,v5
2020-06-15,Sicilia,30,4,805,280,771,3458,180327,v5
2020-06-15,Friuli VG,15,1,99,343,83,3296,161945,v5
2020-06-15,Bolzano,8,1,94,292,85,2611*,76345,v5
2020-06-15,Umbria,9,1,18,77,8,1436,82235,v5
2020-06-15,Sardegna,12,0,33,132,21,1363,69134,v5
2020-06-15,Valle d'Aosta,7,0,12,144,5,1191,16650,v5
2020-06-15,Calabria,17,1,37,97,19,1162,82392,v5
2020-06-15,Lombardia,2018,94,15976,16457,13864,91917,899278,v5
2020-06-15,Trento,5,0,66,465,61,4448,104306,v5
2020-06-15,Puglia,56,2,410,534,352,4516,148627,v5
2020-06-15,Basilicata,0,1,11,27,10,401,35233,v5
2020-06-16,Calabria,18,0,36,97,18,1162,83281,v5
2020-06-16,Lombardia,1902,69,15233,16466,13262,92060,906322,v5
2020-06-16,Basilicata,0,1,10,27,9,401,35666,v5
2020-06-16,Puglia,48,2,353,535,303,4516,151482,v5
2020-06-16,Piemonte,472,28,2450,4018,1950,31090,372948,v5
2020-06-16,Emilia Romagna,180,11,1405,4209,1214,28097,417184,v5
2020-06-16,Veneto,36,1,718,1982,681,19221,826192,v5
2020-06-16,Toscana,34,14,463,1091,415,10191,296812,v5
2020-06-16,Liguria,76,2,242,1529,164,9891,129249,v5
2020-06-16,Lazio,308,38,1129,814,783,7967,302305,v5
2020-06-16,Molise,1,0,65,23,64,439,19368,v5
2020-06-16,Campania,57,2,273,430,214,4613,242662,v5
2020-06-16,Marche,19,0,601,994,582,6763,122650,v5
2020-06-16,Sardegna,13,0,33,132,20,1365,70202,v5
2020-06-16,Umbria,8,1,18,77,9,1437,83435,v5
2020-06-16,Bolzano,8,1,93,292,84,2611,76661,v5
